,name,ingredients,steps,url
10,蝦仁印度咖哩 (露營OK),"['蝦仁:150~200g', '奶油:10~15g', '洋蔥 (切絲):1/2個', '咖哩粉:1/2大匙', '牛番茄 (切塊):1/2個', '番茄泥或番茄醬:1大匙', '蒜泥:1/2大匙', '蜂蜜:1小匙', '無糖優格:50g', '中筋麵粉:10~15g', '鮮奶:150g']","['1:鍋放入奶油，開中小火融化奶油。放入洋蔥、咖哩粉，炒至洋蔥微軟軟', '2:加入番茄、茄泥、蒜泥、蜂蜜、水100g，蓋鍋轉小火，煮5分鐘', '3:鮮奶與麵粉調勻，加入優格、牛奶糊，攪拌均勻、加塩、胡椒調味，蓋鍋再煮5分鐘', '4:加入蝦仁攪拌一下，蓋鍋煮至蝦仁變紅熟了即可 (約2~3分鐘)', '5:盛盤! 即是一道快速又下飯的印度咖哩飯了~']",https://icook.tw//recipes/285900
11,鍋煮奶茶（露營ＯＫ）,"['茶包:4個', '全脂鮮奶:280ml', '糖:1.5大匙']","['1:水250ml放入小鍋以中大火煮滾，放入四個茶包，轉中小火煮1.5分鐘，撈起', '2:加糖1.5大匙(或隨喜)，攪拌一下，加入鮮奶，繼續攪拌讓糖融化，煮至奶茶有點起泡泡即熄火 *請勿煮至滾', '3:就是一鍋香醇濃郁的鍋煮奶茶了。', '4:搭配喜歡的麵包或蛋糕 很享受啊~']",https://icook.tw//recipes/281782
12,露營趣_深夜食堂青蔥雞肉串&洋蔥串,"['雞腿排:1片', '蔥:2根', '九層塔:少許', '洋蔥:1顆']","['1:準備好所有的食材。雞腿排先醃好 :(醃法請參考: https://icook.tw/recipes/280154)。', '2:雞腿排切成一口大小，搭配蔥段、九層塔，用竹籤串起。', '3:用平底鍋小火慢慢煎熟。', '4:洋蔥橫切成圓片狀，沾雞腿排醃料調味用竹籤串好，平底鍋小火煎熟即可。']",https://icook.tw//recipes/282312
13,[和風] 清炒彩椒義大利麵 (露營OK),"['義大利麵:2人份', '青椒:1顆', '紅椒:1顆', '薄肉片或肉絲:200g', '糖:1/3大匙', '醬油:1/2大匙', '酒:1/2大匙', '素蠔油:1/2大匙', '醬油:1小匙', '鹽:1g', '黑或白胡椒:少許', '酒:1小匙', '片栗粉或蓮藕粉:1小匙', '油:1小匙']","['1:煮滾水，加1/2大匙鹽，下麵煮約11~15分鐘 (至喜歡的軟度)', '2:肉絲用醃肉醬  抓一抓靜置，彩椒切絲', '3:平底鍋加一點油，放入青紅椒，以中火炒約3分鐘，撒一點鹽拌炒後盛起', '4:放入肉絲炒至變白，加入彩椒、麵，倒入醬汁 拌炒均勻即完成', '5:一道清爽的清炒義大利麵上桌!']",https://icook.tw//recipes/282112
14,露營趣_寶貝培根薯泥捲 (跨年開趴趣),"['馬鈴薯:1顆', '培根:4-5條', '黑胡椒:少許', '清雞湯:10-20cc', '橄欖油:少許(可略)', '金寶日式風味奶油南瓜湯:1罐']","['1:準備好所有的食材。', '2:馬鈴薯削皮放入湯鍋中煮熟。', '3:將熟軟的馬鈴薯加入少許清雞湯、黑胡椒，壓製成薯泥。', '4:薯泥分成小球，分別用培根捲起。', '5:放入煎鍋，將培根每一面都煎熟即可。', '6:金寶南瓜濃湯蹈入湯鍋加熱。', '7:取2-3個薯泥捲，倒入一勺南瓜濃湯就完成了。']",https://icook.tw//recipes/280155
15,露營趣_鄉村風嫩煎雞腿排,"['去骨雞腿肉:3片', '薑:1/4小塊', '蒜頭:4粒', '黑胡椒粉:1小匙', '紅椒粉:1小匙', '五香粉:1小匙', '醬油:1大匙', '米酒:1大匙']","['1:準備好所有的食材。', '2:薑磨成泥備用。磨泥板小技巧: 可先包上鋁箔紙後再磨泥，不用再辛苦地清理卡再磨泥板上的薑纖維喔。', '3:依序在處理好的雞腿排中加薑泥、蒜泥、黑胡椒粉、五香粉、紅椒粉。', '4:加入醬油。', '5:加入米酒。', '6:放進密封袋，將醃料裹勻雞腿排，放置室溫醃30分中或放入冰箱一晚。', '7:取出醃製好的雞腿排，皮面向下，煎出油份及表面金黃後，翻面繼續煎熟雞肉，過程中可蓋上鍋蓋加速烹調。', '8:將煎熟的雞腿排切塊即可上桌。']",https://icook.tw//recipes/280154
16,薑汁肉片燒(露營OK),"['較厚肉片:250~300g', '洋蔥(切丁):1/8個', '片栗粉或中筋麵粉:少許', '薑泥:1.5小匙', '醬油:1.5大匙', '米霖:1大匙', '酒:1大匙', '糖:0.3~0.5大匙']","['1:肉片吸乾水分，拍少許片栗粉或中筋麵粉', '2:鍋中下一點油，放入洋蔥丁炒軟後，平鋪上肉片，兩面各煎2~3分鐘', '3:倒入醬汁，蓋鍋轉中小火，煮6分鐘 (3分鐘時翻面)', '4:就完成好吃、可大口大口咬的薑汁豬肉了!']",https://icook.tw//recipes/279916
17,超神速鮮蝦燉飯(露營OK),"['白/五穀飯:1碗', '洋蔥(切丁):1/3個', '蒜頭(切末):2瓣', '牛番茄 (切塊):1/2個', '鮮蝦:8~10尾', '玉米粒、青花菜等:隨意', '番茄汁:250ml', '高湯或水:100 ml']","['1:蝦子去頭、剝皮(留尾巴)、去腸泥，用鹽抓一抓，沖洗備用', '2:湯鍋中加點油，放入洋蔥、蒜頭、番茄炒至洋蔥軟', '3:加入蝦子拌炒一下，加入番茄汁、水或高湯，煮沸', '4:加入飯、玉米粒、青花菜，加鹽和黑胡椒調味，煮沸後轉小火，悶煮5分鐘即可熄火', '5:如不夠鹹可再加鹽、黑胡椒調整鹹淡，亦可灑上義式香料增加層次!', '6:完成! 請享用']",https://icook.tw//recipes/279377
18,南洋風咖哩(露營OK),"['火鍋肉片:100g', '蔬菜(參考小撇步*):隨意', '月桂葉(可略):2片', '水:200ml', '日式麵/鰹魚醬油:2大匙', '薑泥:0.5小匙', '椰奶:50 ml', '鮮奶:50 ml', '咖哩粉:1小匙', '紅辣椒粉(可略):0.5小匙']","['1:肉片以片栗粉(或太白粉或蓮藕粉)抓一抓', '2:湯鍋中放一點油，放入蔬菜炒香，加入醬汁、月桂葉，煮滾後轉中小火煮4分鐘', '3:加入肉片、奶汁煮滾後，續煮4分鐘就完成了 !']",https://icook.tw//recipes/279119
19,露營趣_蒜香蛤蜊豬肉麵,"['豬腰內肉:400克', '蛤蜊:600克', '洋蔥:1顆', '蒜頭:10-15顆', '乾香菇:7-8朵', '小白菜:1把', '橄欖油:適量', '米酒:適量', '白胡椒:適量', '鹽:適量', '水或高湯:1000cc']","['1:先準備好所有食材，蛤蜊預先吐沙。', '2:乾香菇預先泡軟後切絲；豬肉切絲；洋蔥切絲；小白菜切段；蒜頭切小塊或切末。', '3:豬肉絲放少許米酒、白胡椒，醃5分鐘。', '4:炒鍋放入油、洋蔥、香菇，轉中火。', '5:香菇炒出香氣、洋蔥炒至金黃色，加入豬肉絲拌炒。', '6:豬肉微焦黃時加入蒜末，繼續拌炒 (注意蒜末不能炒焦)。', '7:加入小白菜梗，到入獄先加熱好的開水或高湯，蓋上鍋蓋，轉大火，煮滾後放入蛤蜊。蛤蜊打開時，加入小白菜業，熄火。', '8:放入蛤蜊。蛤蜊打開時，加入小白菜葉，熄火。', '9:準備另一湯鍋煮熟麵條。', '10:煮熟麵條加上完成的蒜香豬肉蛤蜊湯，就完成了。']",https://icook.tw//recipes/278850
20,蕎麥沾麵 (露營OK),"['(蕎麥)麵條:2份', '香油:1點點', '肉片:150g', '蔥白 (切段):1~2支', '洋蔥 (切絲):1/3顆', '日式麵醬油:2~3 大匙', '米霖:1大匙', '糖:0.5小匙', '高湯或水:500ml']","['1:湯鍋加水煮滾，加入橋麥麵煮10分鐘。 肉片先以片栗粉抓一抓保持彈性 (此亦可略)', '2:另一湯鍋加香油，放入洋蔥絲、蔥段炒香，加入湯頭組煮滾，蓋鍋轉中小火煮5分鐘', '3:湯頭鍋加入肉片，煮2分鐘即可熄火 (可加鹽條鹹淡)', '4:麵撈起後以橄欖油或玄米油拌開，盛盤  *可將蔬菜放入煮麵湯繼續清燙3~4分鐘。', '5:湯頭盛入湯碗，即完成。', '6:請享用熱呼呼的蕎麥沾麵!']",https://icook.tw//recipes/278499
21,秋刀魚生薑煮 (露營OK),"['秋刀魚:4尾', '薑 (切絲):一條', '蘿蔔泥 (可略):一小段', '日式麵醬油(濃縮):5~6大匙', '糖:1.5大匙', '水:200 ml']","['1:魚去頭尾，切3等分', '2:鍋中放入麺醬油、砂糖、水、薑絲煮至沸騰，放入魚塊', '3:蓋鍋轉中小火，煮10分鐘，開蓋翻面再煮10分鐘，就完成了', '4:盛在盤中，放上蘿蔔泥，就是一道下飯又營養的主食了!']",https://icook.tw//recipes/278392
22,焗烤蛋佐吐司鏟（⛺️露營可）,"['康寶濃湯:1包（兩人份）', '水煮蛋:1顆', '鮮奶:50cc', '溫開水:100cc', '起司粉:1T', '起司絲:適量', '厚片吐司:2片', '含鹽奶油:適量', '義式香料:適量']","['1:起一熱鍋，以100cc溫開水加入玉米濃湯包調勻，待煮沸後再加入鮮奶與起司粉攪拌至沸騰。', '2:將煮好的濃湯醬倒至烤盤備用。:加入切丁的水煮蛋拌勻。', '3:最後將烤盤撒滿起司絲，進烤箱後以上火烤至表面金黃酥脆。', '4:在等待焗烤蛋出爐的時間，起ㄧ平底鍋以奶油將吐司煎至兩面金黃香酥，起鍋後撒上義式香料，切成三等分即可。', '5:好吃極了！🤤🤤🤤', '6:晚餐日記分享！！😋😋😋']",https://icook.tw//recipes/277704
23,瓜子肉 (露營OK),"['蒜 (末):2瓣', '絞肉:250g', '酒:1/2匙', '(素)蠔油:1/2大匙', '醬油:1/2大匙', '脆瓜 (剁碎):半瓶(小)']","['1:鍋中放少許油，加入蒜末炒香，加入絞肉，嗆入酒炒至白', '2:加入花瓜末、蠔油、醬油、一點白胡椒拌炒', '3:倒入半瓶花瓜汁，一點水蓋過肉，蓋上鍋蓋轉小火，煮5分鐘', '4:就完成好吃下飯的瓜瓜肉了!']",https://icook.tw//recipes/277463
24,茄汁義大利麵(露營OK),"['義大利麵(煮軟):2人份', '培根(切丁):1~2條', '洋蔥(切絲):1/4 顆', '彩椒們 (切小塊):各1/4顆', '番茄醬:2~3大匙']","['1:鍋中加一點油，放入培根、洋蔥煎至洋蔥軟', '2:放入麵條翻炒', '3:加入彩椒，番茄醬拌炒。加鹽、黑胡椒調整至喜歡的鹹淡即完成!']",https://icook.tw//recipes/277306
25,印度肉醬咖哩 (露營OK),"['豬絞肉:300g', '洋蔥 (切丁):1/2顆', '牛番茄 (切塊):1個', '蒜末:1瓣', '番茄醬:2.5大匙', '醬油:2小匙', '烏醋:1/2小匙', '咖哩粉:2大匙', '鹽:1/2小匙', '水:150 ml', '中筋麵粉:1大匙']","['1:絞肉用力抓捏至有黏性、醬汁組調好', '2:湯鍋加一點點油，放入洋蔥、番茄炒軟至香味飄出，放入絞肉炒至變白', '3:加入醬汁，滾後轉中小火，蓋鍋煮5~10分鐘', '4:即完成超簡單又下飯的印度咖理了!']",https://icook.tw//recipes/276771
26,重慶酸辣粉（⛺露營可）,"['寬粉:3把', '蒜末:1T', '乾花椒粒:1T', '辣紅椒粉:1t', '辣紅椒油:1t', '醬油:1T', '烏醋:1T', '開水:300cc', '黃飛紅麻辣花生:一把', '蔥花:1T', '鹽巴:1/4t', '胡椒粉:1/4t']","['1:寬粉以熱開水泡軟。', '2:起一油鍋爆香蒜末與乾花椒粒。', '3:加入開水、醬油與辣紅椒粉調成醬汁。', '4:待醬汁煮沸後加入寬粉、鹽巴與胡椒粉烹煮至寬粉呈透明且入味即可起鍋。', '5:起鍋後加上辣紅椒油與烏醋，最後撒上蔥花與麻辣花生，拌勻後即可享用……😋', '6:晚餐日記分享😋😋😋']",https://icook.tw//recipes/276735
28,蔥鹽豬肉丼 (露營OK),"['雙醬肉片或其他肉片:300g', '蔥綠 (切末):2~3支', '水:4大匙', '酒:2大匙', '米霖:1大匙', '鹽:2/3小匙', '片栗粉:1/2小匙', '蒜泥:2瓣', '薑泥:1小塊']","['1:將1/2量蔥末加入  蔥鹽醬汁，調好準備', '2:鍋放一點點油，開中火，放入肉片，兩面煎至赤赤', '3:轉中小火，倒入蔥鹽醬汁 ，拌炒至醬汁變稠即可', '4:將肉片鋪在飯上，撒細蔥即可']",https://icook.tw//recipes/275784
29,蘿蔔雞肉煮 (露營OK),"['白蘿蔔(切中小塊):1/4條', '帶骨雞肉:250g', '高湯或水:400g', '醬油:2大匙', '米霖:1.5大匙', '糖:1大匙']","['1:鍋中放入高湯、大根，中火煮沸騰後，蓋鍋煮10分鐘', '2:加入雞肉煮沸後，加入醬汁，蓋鍋煮10分至雞肉熟、大根軟，即完成!', '3:請享用美味下飯的超簡單料理!']",https://icook.tw//recipes/275528
30,日式炒烏龍 (露營OK),"['烏龍麵:2份', '高麗菜 (切片):4~5大片', '蔥 (切段):1支', '肉片或中卷:200g', '高湯(柴魚、昆布或其他皆可)):150 g', '其他野菜(紅椒、小番茄等):隨意', '柴魚:5g', '醬油:1.5大匙', '米霖:1.5大匙']","['1:鍋放油開中火，加入高麗菜、蔥段炒至高麗菜軟', '2:放入麵、肉或中卷，加入高湯，蓋鍋轉中小火，悶煮2~3分鐘至烏龍麵變軟散開', '3:加入其他不需久煮的野菜、醬汁，拌炒均勻，蓋鍋再悶煮2分鐘', '4:開鍋蓋，加入柴魚 拌炒均勻即熄火', '5:就是一道超快速又營養的能量補給站了!']",https://icook.tw//recipes/274762
31,豚汁烏龍麵 (露營OK),"['肉片:100g', '片栗粉或太白粉:1小匙', '高湯(昆布、柴魚、清雞湯等):3~4杯', '酒:2大匙', '醬油:2小匙', '米霖:2小匙', '大白菜:8~10片', '薑片:2小薄片', '青蔥 (斜切段):一支']","['1:肉片用片栗粉抓一抓，大白菜可切小片一點', '2:一鍋煮開水，下烏龍麵;  另一鍋放入高湯、酒，以小火煮滾。加入肉片、變白後夾出', '3:放入醬油、米霖、薑片、白菜，蓋鍋煮5分鐘。放入豚肉，加鹽、白胡椒調整湯頭鹹淡', '4:烏龍麵放入碗中，舀入菜、肉片、湯，放上青蔥即完成']",https://icook.tw//recipes/274255
32,蘿蔔肉絲粥 (露營OK),"['白飯:1~1.5碗', '豬五花肉片(稍厚):150g', '白蘿蔔:1/3~1/4根', '青蔥:1支', '高湯:800ml', '醬油、酒、米霖:各1大匙']","['1:肉片先用鹽麴抓一抓，靜置15分鐘或冰箱過夜', '2:白蘿蔔切薄片、蔥斜切、肉片切調', '3:鍋中放入高湯、醬油、酒、米霖 煮沸，轉中火放入大根、豚肉、米飯煲15分鐘至麋狀。', '4:撒下蔥就完成了!']",https://icook.tw//recipes/273270
33,雞胸肉磯邊燒 (露營OK),"['雞胸肉:200~300g', '燒海苔:數片', '片栗粉:適量', '醬油:1大匙', '橄欖油:1大匙', '柴魚或昆布高湯:1大匙', '蒜泥:2瓣', '薑泥:1片', '糖:1/4大匙']","['1:鶏肉去皮，切成差不多大小條狀，用叉子刺洞，放入調理盆或密封袋中，加入漬肉汁 搓揉按摩均勻，靜置至少15分或放冰箱過夜', '2:將焼海苔剪成符合肉的寬度，平盤倒入片栗粉平鋪均勻，鍋中放少許油開中小火熱鍋', '3:取出雞肉，吸乾水份，每條都捲上一片海苔，薄薄滾上片栗粉後放入鍋中煎3分鐘', '4:翻面，轉小火，蓋鍋悶煮3~4鐘至雞肉熟就好嚕!', '5:嫩嫩好吃的雞胸肉，請享用!']",https://icook.tw//recipes/272392
34,[和風] 鮭魚義大利麵 (露營OK),"['義大利麵條:150g', '鮭魚:150g', '奶油:15g', '醬油:1/2~1大匙', '蘆筍 (切段):8根', '其他野菜:隨意']","['1:鮭魚切小塊，用塩、黑胡椒抓一抓。', '2:煮一鍋熱水，加一匙鹽，沸騰後先放入蘆筍 (及彩椒等蔬菜) 煮3分鐘取出', '3:直接下麵條，煮10~15分鐘至喜歡的軟度', '4:鍋中加橄欖油，放入鮭魚小火慢煎至鮭魚熟，麵條軟後直接夾入略炒', '5:加入奶油、醤油、蘆筍等野菜混炒入味即可', '6:就是一盤清爽、快速、且非常美味的和風義大利麵了!']",https://icook.tw//recipes/272254
35,【日式副菜】野菜油豆腐煮（露營ＯＫ）,"['四季豆（切段）:3根', '油豆腐（切小塊）:1~2塊', '紅蘿蔔:4小片', '鴻禧菇:1/2包', '高湯:一杯', '醬油:1大匙', '米霖:1大匙', '糖:1/3大匙']","['1:將高湯和調味汁放入鍋中煮滾，加入四季豆、紅蘿蔔，轉中小火煮3分鐘', '2:放入鴻禧菇、油豆腐煮3分鐘，熄火', '3:就是一道清爽、和風的蔬菜煮了～']",https://icook.tw//recipes/272115
36,櫻花蝦飯糰 (露營OK),"['五穀飯:300g', '櫻花蝦:30~50g', '蔥 (青色部分切末):1根', '鹽昆布:6~10g', '柴魚:4g', '果醋:2~3滴']","['1:鍋加一點點油，中火熱鍋，放入櫻花蝦、蔥末，炒至香味飄出蝦變稍深色，熄火', '2:調理盆中放入所有食材，拌勻，捏成想要的形狀即完成', '3:請享用非常好吃的五穀米飯糰!', '4:裹上燒海苔滋味更豐富~']",https://icook.tw//recipes/271571
37,馬鈴薯雞翅煮 (露營OK),"['雞翅:4支', '馬鈴薯 (切塊):1個', '紅蘿蔔 (切塊):1/4根', '洋蔥 (切絲):1/4顆', '醬油:2.5大匙', '水:150ml', '米霖:2大匙', '酒:1大匙', '糖:1/3大匙']","['1:鶏翅沿關節切成三段，用塩胡椒抓一下', '2:鍋中放一點點油，開中火、放入鶏翅，兩面煎至上色', '3:加入馬鈴薯、洋蔥、紅蘿蔔炒一下', '4:加入[醬支組]，蓋上鍋蓋、轉中小火煮10分', '5:加醤油，再蓋上鍋蓋煮6~10分即完成!', '6:隨意撒上蔥花就是一道下飯料理了!']",https://icook.tw//recipes/271416
38,糖醋蔬菜小肉球(露營OK),"['火鍋梅花薄肉片:200g', '青、黃、紅椒:各1/2顆', '洋蔥:1/3顆', '杏鮑菇:3~4根', '紅蘿蔔:少許', '薑末:1片', '片栗粉或蓮藕粉、太白粉:1大匙', '鹽、黑胡椒:少許', '番茄醬:2大匙', '果醋:0.5大匙', '糖:0.5大匙', '醬油:1.5大匙', '酒:1大匙', '片栗粉或蓮藕粉、太白粉:0.5大匙']","['1:將醬汁調好，洋蔥切絲、紅蘿蔔切薄片、彩椒們切小塊', '2:豬肉片用醃肉組用力抓捏，將肉握成一口大球狀 (約可作12個)', '3:鍋中放油開中火，放入肉球，煎至變色，轉小火蓋鍋，悶煮3分鐘', '4:開鍋轉中火，放入紅蘿蔔、洋蔥略炒，蓋鍋悶煮2分鐘', '5:放入彩椒們和肉球同炒，再蓋鍋悶煮2分鐘', '6:倒入醬汁，翻炒至稠即可', '7:清爽的糖醋肉球請享用!']",https://icook.tw//recipes/270813
39,偽炸魚排(露營OK),"['台灣鯛片或任何白身魚片:2片', '中筋麵粉:2小匙', '咖哩粉 (可略):1/2小匙', '麵包粉:15g', '起司粉:10g', '蛋液:1/2顆量']","['1:魚洗淨、切塊、吸乾水份，薄薄抹鹽，靜置10分鐘 (沒時間的話可略靜置時間)', '2:咖哩粉+中筋麵粉混合後、薄薄鋪在魚片正反面', '3:鍋中加油 (淺佈鍋子表面即可，不需太多)，開中小火熱鍋', '4:麵包粉+起司粉混和放在調理平盤;  蛋液準備好', '5:手掌接近鍋底感覺有熱氣時，即可將魚片沾蛋液、麵包粉，一片一片放入鍋中', '6:煎至金黃色，翻面續煎，至塊子可以穿透魚身(已熟)，即完成', '7:盛盤或夾入漢堡包中都很好吃啊~']",https://icook.tw//recipes/269913
40,味噌大根雞翅煮(露營OK),"['雞翅:6隻', '大根:200g', '紅蘿蔔:1/3~1/2條', '豆瓣醬:1小匙', '糖:1/2小匙', '香油:1小匙', '酒:1大匙', '味噌:1大匙']","['1:鶏翅沿關節處切成三段，用一點點塩、黑胡椒揉捏。大根、紅蘿蔔去皮切塊。醬汁組 調好', '2:鍋中放一點沙拉油，開中火煎雞翅，兩面皆上色後，放入大根、紅蘿蔔入同炒一下。', '3:加水或高湯300ml，蓋鍋煮滾', '4:加入醬汁組、豆板醤，蓋鍋中小火煮10~15分，至蘿蔔軟即可', '5:就是一道麵澆汁或飯淋醬也超下飯的雞翅料理了喔!']",https://icook.tw//recipes/269787
41,味噌照燒雞 (露營OK),"['雞腿肉:200g', '糖:1/3大匙', '酒:1大匙', '鹽:一點點', '味噌:1小匙', '醬油:1.5大匙', '米霖:1大匙']","['1:雞肉切大塊，以醃漬組抓一抓，靜置15分鐘。將 味噌照燒醬組 調好', '2:鍋加一點點油，開中火，放入雞肉煎4分。翻面轉小火蓋鍋，再煎4分', '3:轉中火，倒入 味噌照燒醬組，翻炒雞肉沾滿醬汁，至煮滾即可', '4:就是一道蓋飯也可以、當主食也可以的下飯料理嚕!']",https://icook.tw//recipes/269675
42,蔬菜番茄湯 (露營OK),"['高麗菜 (切小一點):3~4葉', '洋蔥 (切絲):1/4顆', '牛番茄 (切塊):半顆', '小熱狗 (先煮過):1條', '青花菜:3~4朵', '其他蔬菜（紅蘿蔔等）:隨意']","['1:鍋中加水或高湯400ml煮滾，轉中火，放入高麗菜、洋蔥、番茄蓋鍋煮5分鐘', '2:加入小熱狗、青花菜再蓋鍋煮5分鐘 (可適時加水)', '3:倒入番茄汁 (視喜歡的酸甜度調整量)，加鹽、黑胡椒調味，煮滾即j完成了！']",https://icook.tw//recipes/269543
43,【日式副菜】和風溫沙拉(露營OK),"['小松菜:3~4把', '玉米筍:4根', '黃椒:1~2輪切', '柴魚:5 g', '鹽昆布:10g', '白芝麻:1~2g', '醬油:0.5~1小匙', '糖:0.5小匙', '香油:少許']","['1:煮滾一小鍋水，小松菜切段約3〜4cm、 玉米筍和黃椒也切小丁', '2:放入所有野菜，燙煮3分鐘 撈起放入調理盆', '3:加入和風醬 拌勻即可', '4:5分鐘完成可口的溫野菜!']",https://icook.tw//recipes/268786
